"type","dep","i-dep","fan-in","fan-out"
"me.umov.zeus.domain.creation.model.Environment",1,0,17,3
"me.umov.zeus.application.startcreation.EnvironmentRequest",0,0,1,0
"me.umov.zeus.domain.creation.model.Mold",5,0,12,2
"me.umov.zeus.infrastructure.database.dao.EnvironmentDAO",10,5,1,12
"me.umov.zeus.infrastructure.database.entity.ScheduleCreationEnvironment",6,0,4,0
"me.umov.zeus.domain.creation.model.User",0,0,1,3
"me.umov.zeus.application.reprocess.Reprocessor",20,11,0,14
"me.umov.zeus.infrastructure.configuration.AmazonSQSConfiguration",14,0,0,1
"me.umov.zeus.application.observers.WelcomeNotifier",12,7,0,11
"me.umov.zeus.infrastructure.database.entity.Partner",3,0,2,0
"me.umov.zeus.infrastructure.database.entity.Client",3,0,3,1
"me.umov.zeus.domain.creation.model.Contract",0,0,1,4
"me.umov.zeus.application.observers.NotifyComplementaryData",12,6,0,10
"me.umov.zeus.domain.creation.initial.EnvironmentCreationHeld",3,3,3,4
"me.umov.zeus.infrastructure.database.dao.ClientDao",5,1,2,2
"me.umov.zeus.domain.creation.complementary.Cloner",8,4,1,7
"me.umov.zeus.application.startcreation.CreatorController",12,3,0,5
"me.umov.zeus.domain.creation.model.MoldState",0,0,2,2
"me.umov.zeus.infrastructure.services.FTP",10,2,0,5
"me.umov.zeus.domain.creation.rules.InitialCreationRules",4,2,0,5
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoService",11,0,1,2
"me.umov.zeus.anticorruption.ComplementaryDataConverter",16,10,0,13
"me.umov.zeus.domain.creation.model.SourceData",0,0,3,4
"me.umov.zeus.infrastructure.database.entity.SystemParameter",3,0,2,0
"me.umov.zeus.domain.creation.initial.Start",7,3,1,5
"me.umov.zeus.domain.creation.complementary.cloner.ChainResponsibilityClone",4,2,3,3
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoRequest",0,0,1,0
"me.umov.zeus.domain.creation.model.Setting",0,0,1,1
"me.umov.zeus.anticorruption.EnvironmentConverterImpl",13,11,0,12
"me.umov.zeus.application.startcreation.EnvironmentResponse",3,1,2,1
"me.umov.zeus.domain.creation.model.Identity",0,0,4,2
"me.umov.zeus.infrastructure.configuration.RestConfiguration",6,0,0,1
"me.umov.zeus.domain.event.RegisterEvents",3,0,2,3
"me.umov.zeus.application.complementary.Maker",6,2,0,4
"me.umov.zeus.infrastructure.services.aws.ProducerQueueAWS",5,0,0,3
"me.umov.zeus.infrastructure.database.entity.ReservedEnvironment",3,0,1,0
"me.umov.zeus.application.reprocess.ClientResponse",0,0,2,0
"me.umov.zeus.infrastructure.services.jaiminho.JaiminhoResponse",2,0,3,0
"me.umov.zeus.application.complementary.ComplementaryConsumer",6,0,0,1
"me.umov.zeus.infrastructure.services.aws.MessageDTO",0,0,2,2
"me.umov.zeus.domain.creation.model.CreationResult",1,0,6,0
"me.umov.zeus.infrastructure.services.PasswordEncriptorService",4,3,1,4
"me.umov.zeus.domain.creation.complementary.cloner.CreatorComplementary",4,1,0,2
"me.umov.zeus.domain.creation.complementary.cloner.ChainResponsibilityFactory",4,1,1,2
"me.umov.zeus.application.version.VersionController",4,0,0,1
"me.umov.zeus.domain.creation.initial.Creator",4,1,0,1
"me.umov.zeus.application.complementary.MessageDTO",0,0,2,2
"me.umov.zeus.domain.creation.complementary.cloner.Albieri",3,1,0,2
"me.umov.zeus.domain.creation.rules.DomainIsNotAlphanumeric",5,2,0,3
"me.umov.zeus.domain.creation.rules.ValidEmailAddress",5,2,0,3
"me.umov.zeus.domain.creation.rules.DomainReserved",4,2,0,3
"me.umov.zeus.domain.creation.rules.DomainExist",4,2,0,3
"me.umov.zeus.UmovmeZeusApplication",5,0,0,0
"me.umov.zeus.infrastructure.database.dao.ScheduleCreationEnvironmentDAO",5,1,3,2
"me.umov.zeus.domain.creation.complementary.CloneAccomplished",2,2,1,3
"me.umov.zeus.domain.specification.AndSpecification",0,0,1,1
"me.umov.zeus.domain.specification.OrSpecification",0,0,1,1
"me.umov.zeus.domain.specification.CompositeSpecification",0,0,6,1
"me.umov.zeus.infrastructure.database.dao.ReservedEnvironmentDao",3,1,0,2
"me.umov.zeus.infrastructure.database.dao.SystemParametersDAO",3,1,2,2
"me.umov.zeus.domain.creation.complementary.CloneRepository",1,1,2,1
"me.umov.zeus.application.reprocess.ClientRequest",0,0,0,0
"me.umov.zeus.infrastructure.database.dao.PartnerDAO",3,1,1,2
"me.umov.zeus.domain.specification.ISpecification",0,0,1,0
"me.umov.zeus.domain.creation.rules.DomainRepository",1,1,1,1
"me.umov.zeus.domain.event.Listener",0,0,2,0
"me.umov.zeus.domain.creation.initial.FTPService",1,1,1,1
"me.umov.zeus.domain.creation.initial.InitialRepository",1,1,1,1
"me.umov.zeus.domain.creation.initial.Rules",1,1,1,1
"me.umov.zeus.application.startcreation.EnvironmentConverter",1,1,1,1
"me.umov.zeus.application.complementary.CloneConverter",1,1,1,1
"me.umov.zeus.infrastructure.services.aws.ProducerNotification",0,0,3,0
"me.umov.zeus.domain.creation.model.Encryptor",0,0,2,0
"me.umov.zeus.domain.event.DomainEvent",0,0,2,0
